node,X,Z,classe
1166,-18.854632036,-29.424844492,20
1167,-19.169116479,-29.074681736,0
1168,-19.281704524,-28.601888832,0
1169,-19.162682197,-28.130939298,8
1170,-18.842647363,-27.785312054,20
1171,-18.384076603,-27.656494622,20
1172,-17.946257206,-27.789141748,8
1173,-17.62661373,-28.13695055,0
1174,-19.984298011,-31.622394886,4
1175,-20.301557673,-31.970614145,8
1176,-20.735322015,-32.101353897,20
1177,-21.170207072,-31.979776577,26
1178,-21.50810634,-31.60592132,0
1179,-21.614469737,-31.130323249,26
1180,-21.491193574,-30.659528979,26
1181,-21.170396841,-30.318151818,8
1182,-20.735448549,-30.196410772,20
1183,-20.30176841,-30.32701811,8
1184,-19.984287166,-30.675452077,0
1185,-17.627192005,-32.891938744,4
1186,-17.94821622,-33.239903352,20
1187,-18.387521431,-33.37136411,12
1188,-18.846032086,-33.240361564,20
1189,-19.165187663,-32.892171518,0
1190,-19.281728352,-32.419272165,0
1191,-19.165522816,-31.946267493,8
1192,-18.846559256,-31.597778748,20
1193,-18.387468123,-31.466442796,12
1194,-17.948195144,-31.59791614,8
1195,-17.627128281,-31.94598665,8
1196,-19.968625827,-35.401377263,8
1197,-20.2466347,-35.742544671,20
1198,-20.638091639,-35.904400154,12
1199,-21.052866213,-35.849624256,8
1200,-21.395823906,-35.59090285,0
1201,-21.589187761,-35.187779542,0
1202,-21.589712508,-34.732368255,26
1203,-21.397185262,-34.328645929,8
1204,-21.054855698,-34.069009514,20
1205,-20.640057598,-34.013068916,20
1206,-20.246819373,-34.175106736,8
1207,-19.968618325,-34.516464332,0
1208,-17.627171674,-36.70190072,4
1209,-17.948140965,-37.049855894,20
1210,-18.387384792,-37.181362301,12
1211,-18.845490893,-37.05070401,20
1212,-19.164806195,-36.70289041,0
1213,-19.281727672,-36.230142994,0
1214,-19.165933553,-35.75704455,8
1215,-18.846407239,-35.407682349,20
1216,-18.387318077,-35.276444794,12
1217,-17.948088617,-35.407983327,8
1218,-17.627107519,-35.756025493,8
1219,-19.968698575,-39.211527764,8
1220,-20.246860707,-39.552714412,21
1221,-20.638478978,-39.714451523,12
1222,-21.053367954,-39.659416323,8
1223,-21.396167135,-39.400478545,0
1224,-21.589351243,-38.997054099,0
1225,-21.589517775,-38.54149807,4
1226,-21.396534451,-38.137839125,8
1227,-21.053725863,-37.878539223,20
1228,-20.638603824,-37.823259243,20
1229,-20.247066676,-37.98492102,8
1230,-19.968677903,-38.326341071,0
1231,-17.624697182,-40.507242305,4
1232,-17.948491337,-40.86007676,12
1233,-18.382906483,-40.991290466,21
1234,-18.837377476,-40.865771456,20
1235,-19.164563611,-40.513346817,9
1236,-19.281703861,-40.046014,9
1237,-19.171034785,-39.57683974,8
1238,-18.845486902,-39.217099669,21
1239,-18.391209257,-39.086401791,12
1240,-17.95575109,-39.213204694,20
1241,-17.630442066,-39.559840517,0
1242,-19.968441319,-43.020995264,8
1243,-20.245918995,-43.362006394,25
1244,-20.636824589,-43.524230784,12
1245,-21.051300642,-43.470270579,8
1246,-21.397732315,-43.208537152,5
1247,-21.589786316,-42.805111444,0
1248,-21.589208645,-42.350123902,4
1249,-21.396071687,-41.947266559,20
1250,-21.053602986,-41.688488195,12
1251,-20.639024028,-41.633203953,20
1252,-20.247874521,-41.794315299,8
1253,-19.968426065,-42.136862397,9
1254,-17.625549524,-44.318853789,4
1255,-17.966196908,-44.680941483,15
1256,-18.40509689,-44.801408302,21
1257,-18.869596738,-44.65489976,18
1258,-19.176608555,-44.299943882,5
1259,-19.281500976,-43.827263342,5
1260,-19.156837591,-43.360219767,21
1261,-18.834486866,-43.020259167,25
1262,-18.37797741,-42.896622893,12
1263,-17.942743738,-43.031381873,20
1264,-17.625617789,-43.378823663,9
1265,-19.968617701,-46.831360448,21
1266,-20.246545634,-47.172477747,28
1267,-20.637990413,-47.334386699,12
1268,-21.052776716,-47.279661305,20
1269,-21.397113425,-47.019306078,16
1270,-21.589662834,-46.615664601,5
1271,-21.589232365,-46.160229033,26
1272,-21.395901854,-45.757056661,21
1273,-21.053013764,-45.498243823,15
1274,-20.63799113,-45.443340263,5
1275,-20.246679067,-45.605212163,8
1276,-19.968609086,-45.946483449,5
1277,-17.626645241,-48.130914757,4
1278,-17.946544649,-48.478846689,25
1279,-18.384668981,-48.611321637,2
1280,-18.854175967,-48.475140655,20
1281,-19.168945059,-48.125011844,16
1282,-19.281706078,-47.652120685,5
1283,-19.162704227,-47.180980316,15
1284,-18.8425458,-46.835248399,22
1285,-18.384617312,-46.706485426,12
1286,-17.946546467,-46.838958361,20
1287,-17.626707969,-47.186773819,16
1288,-19.967790416,-50.63964429,15
1289,-20.243654724,-50.98029592,22
1290,-20.632767355,-51.143674664,19
1291,-21.046224877,-51.092340239,21
1292,-21.402888919,-50.822064665,10
1293,-21.59131185,-50.418155596,5
1294,-21.58791423,-49.964462683,26
1295,-21.393402889,-49.563982526,15
1296,-21.046454917,-49.305559545,25
1297,-20.632754348,-49.254052315,16
1298,-20.243920172,-49.417294095,8
1299,-19.96780269,-49.75815621,16
1300,-17.626602237,-51.940834094,18
1301,-17.946222872,-52.288642677,25
1302,-18.392848921,-52.421417038,25
1303,-18.8548133,-52.28472667,18
1304,-19.169207595,-51.934506146,10
1305,-19.281703326,-51.461715159,16
1306,-19.162614095,-50.990812529,25
1307,-18.842551721,-50.645252109,22
1308,-18.383986873,-50.516496183,12
1309,-17.946211648,-50.649170645,20
1310,-17.626600204,-50.996975922,10
1311,-19.984297513,-54.482393942,28
1312,-20.301556528,-54.830613415,7
1313,-20.735319693,-54.961353872,18
1314,-21.170204184,-54.839778347,11
1315,-21.508104281,-54.465925447,10
1316,-21.61446984,-53.990329039,4
1317,-21.491196799,-53.519534881,21
1318,-21.170403193,-53.178155715,25
1319,-20.735456868,-53.056410689,10
1320,-20.301766682,-53.187019212,18
1321,-19.984286668,-53.53545302,10
1322,-17.627193763,-55.751942031,18
1323,-17.948220988,-56.099906359,22
1324,-18.387527734,-56.231364193,25
1325,-18.84601874,-56.100370015,18
1326,-19.165180989,-55.752184109,10
1327,-19.281728348,-55.279285011,10
1328,-19.165527733,-54.806276786,28
1329,-18.846566116,-54.4577831,7
1330,-18.387474105,-54.326442717,21
1331,-17.948198588,-54.457913969,20
1332,-17.627129274,-54.805984793,10
1333,-19.983241518,-58.290387233,25
1334,-20.297830481,-58.638223978,17
1335,-20.767036855,-58.771061354,12
1336,-21.211828264,-58.62257345,6
1337,-21.513789721,-58.264340026,11
1338,-21.614221381,-57.789508662,0
1339,-21.48719428,-57.322282568,21
1340,-21.165438339,-56.985133355,22
1341,-20.731912974,-56.866454053,11
1342,-20.298107349,-56.999365877,18
1343,-19.983231708,-57.347457886,6
1344,-17.627171718,-59.561900803,18
1345,-17.948141119,-59.909855991,22
1346,-18.387385058,-60.041362304,25
