node,X,Y,Z,classe
900,10.872986493,1.8777816321,-17.148409539,0
901,11.083144559,1.9249862878,-17.545326466,0
902,11.089308606,1.926390171,-17.988931707,0
903,10.885902111,1.8806454034,-18.396702768,0
904,10.503018607,1.7978101906,-18.668590513,9
905,10.041012606,1.7034946693,-18.725118619,0
906,9.6101655409,1.6210448348,-18.55778977,0
907,9.3129770501,1.5672375349,-18.215717063,0
908,9.3132571775,1.5672870849,-21.153738984,0
909,9.6115406371,1.6212996011,-20.81123956,9
910,10.039260437,1.7031486303,-20.645103044,0
911,10.498274384,1.7968104547,-20.699592568,9
912,10.87674185,1.8786138013,-20.962674435,9
913,11.084448522,1.9252831776,-21.360517071,0
914,11.087722149,1.9260287441,-21.805867534,0
915,10.874642276,1.878148495,-22.219716337,0
916,10.501344449,1.7974573258,-22.479234988,9
917,10.040373755,1.7033684914,-22.535038182,0
918,9.6130762568,1.621584171,-22.369840136,9
919,9.3135746872,1.5673432499,-22.026876522,9
920,9.3310674172,1.5704418597,-24.930790066,9
921,9.6848400899,1.6349571703,-24.57444235,9
922,10.161617099,1.7275244881,-24.447467228,9
923,10.641879847,1.8273605359,-24.578388582,9
924,10.986637928,1.9031496413,-24.926797016,9
925,11.112475592,1.9316766078,-25.39318103,0
926,10.993636435,1.9047241413,-25.860762354,0
927,10.655457456,1.8302798828,-26.213495859,9
928,10.176858383,1.7305908973,-26.352379591,9
929,9.6945997544,1.6367871013,-26.231103236,9
930,9.3307460448,1.5703848567,-25.868641913,9
931,9.330728913,1.570381818,-28.741388393,9
932,9.7015056925,1.638083589,-28.375063822,9
933,10.181035036,1.7314323642,-28.257704916,9
934,10.658782276,1.830995573,-28.398538434,9
935,10.995180239,1.9050716527,-28.752041789,9
936,11.112455954,1.9316721196,-29.219160215,9
937,10.986735811,1.9031716528,-29.683031955,9
938,10.641058269,1.8271840583,-30.032092724,9
939,10.159677759,1.7271347877,-30.162534792,9
940,9.6796927834,1.6339931389,-30.032571227,9
941,9.3313259569,1.5704877199,-29.679666242,9
942,9.3132565096,1.5672869668,-32.58374028,9
943,9.6118063607,1.6213488383,-32.241052407,9
944,10.036706534,1.7026444131,-32.075432056,9
945,10.495213047,1.7961656941,-32.128435519,9
946,10.874529758,1.8781235623,-32.390155993,9
947,11.08578402,1.9255872986,-32.795965768,9
948,11.086626354,1.9257791426,-33.240524166,9
949,10.883037041,1.8800097116,-33.64005939,9
950,10.507196721,1.7986911711,-33.906966304,9
951,10.04728275,1.704733692,-33.965884784,9
952,9.6167150318,1.6222587477,-33.802380616,9
953,9.3141452084,1.5674441775,-33.457979749,9
954,9.314578839,1.5675208945,-36.391184083,9
955,9.6158996801,1.6221075607,-36.048186452,9
956,10.048841383,1.7050418631,-35.883931317,9
957,10.504275179,1.7980750932,-35.94189559,9
958,10.883393213,1.8800887248,-36.210356179,9
959,11.087898455,1.9260689064,-36.614891625,9
960,11.083816607,1.9251392952,-37.062013783,9
961,10.873242981,1.8778384553,-37.4613008,9
962,10.50061323,1.7973032313,-37.719515339,9
963,10.048380503,1.7049507313,-37.776014577,9
964,9.6150251208,1.621945416,-37.611203902,9
965,9.3145066873,1.5675081293,-37.268676927,9
966,9.312955705,1.5672337594,-40.204324421,9
967,9.6090714967,1.6208421775,-39.862985107,9
968,10.035362485,1.7023791323,-39.69560803,9
969,10.493706101,1.7958484094,-39.74787037,9
970,10.873744881,1.877949654,-40.009266701,4
971,11.083468045,1.9250599353,-40.406602694,9
972,11.088967657,1.9263124898,-40.850442607,9
973,10.886831658,1.8808516999,-41.255606941,4
974,10.504403556,1.7981021595,-41.528054632,9
975,10.042912426,1.7038699677,-41.585355227,9
976,9.6106101164,1.6211271962,-41.41810399,9
977,9.3130784327,1.5672554676,-41.075914027,4
978,9.3134477081,1.5673207879,-44.013369501,9
979,9.6131493574,1.6215977191,-43.67010858,9
980,10.041637865,1.7036181743,-43.504803081,0
981,10.500938537,1.7973717835,-43.5606093,9
982,10.878848969,1.8790809096,-43.82509009,4
983,11.085295673,1.9254760858,-44.223957206,9
984,11.086793202,1.9258171453,-44.669821859,9
985,10.875949189,1.8784381171,-45.078230057,4
986,10.502870635,1.797778999,-45.338647622,9
987,10.041571685,1.7036051014,-45.395188651,0
988,9.6137911276,1.6217166683,-45.230341225,9
989,9.3137759546,1.5673788539,-44.887266119,4
990,9.3310674745,1.5704418698,-47.790789965,4
991,9.6848402926,1.6349572083,-47.434442233,9
992,10.161617451,1.7275245588,-47.307467229,0
993,10.641880253,1.827360623,-47.43838882,9
994,10.986578244,1.9031362201,-47.786692773,4
995,11.112474733,1.9316764115,-48.253062115,9
996,10.993694465,1.9047372026,-48.720657352,4
997,10.655457858,1.8302799693,-49.073495614,9
998,10.176858739,1.730590969,-49.212379585,0
999,9.6945999586,1.6367871396,-49.09110335,9
1000,9.3307461021,1.5703848668,-48.728642014,4
1001,9.330652438,1.5703682538,-51.601523707,4
1002,9.70225586,1.6382245032,-51.234651957,0
1003,10.181829115,1.731592403,-51.117723053,3
1004,10.659406557,1.8311299893,-51.258922489,9
1005,10.995439321,1.9051299792,-51.612514576,4
1006,11.112452334,1.9316712923,-52.079529191,9
1007,10.986580109,1.9031366394,-52.543303972,4
1008,10.640838198,1.8271367896,-52.892221461,0
1009,10.15948457,1.7270959731,-53.022534777,3
1010,9.6795832111,1.6339726255,-52.892507187,9
1011,9.3312948979,1.5704822105,-52.539611455,4
1012,9.3133130617,1.5672969702,-55.443630571,9
1013,9.6119377614,1.6213731869,-55.100959909,5
1014,10.037098069,1.7027217017,-54.935381159,5
1015,10.495705894,1.7962694762,-54.988620982,3
1016,10.874816691,1.8781871436,-55.250481655,4
1017,11.085580724,1.9255410005,-55.655127306,4
1018,11.086795542,1.9258176781,-56.099811995,4
1019,10.883443391,1.8800998565,-56.499585237,5
1020,10.507672863,1.7987916005,-56.766779769,3
1021,10.047664268,1.704809119,-56.82593004,5
